radio,mcc,mnc,lac,cellid,unit,lon,lat,range,samples,changeable,created,updated,averageSignalStrength
LTE,234,10,4224,128998786,0,-0.3644,51.6589,3505,15,1,1409585356,1723052531,0
LTE,234,20,1041,123136,0,-0.2193,51.5925,1297,31,1,1409938268,1741576382,0
LTE,234,20,1173,505857,0,-0.3819,51.6251,1134,50,1,1410031021,1744229401,0
LTE,234,15,12302,9748,0,0.0453,51.5192,3365,17,1,1410008911,1725803253,0
LTE,234,20,1128,102657,0,-0.2883,51.4047,3371,42,1,1410269738,1711882387,0
UMTS,234,10,21012,802227,457,-0.1647,51.5867,1494,15,1,1410384846,1743959222,0
UMTS,234,10,21012,803590,432,-0.157,51.5817,1000,10,1,1410384846,1743959222,0
LTE,234,20,1153,310274,0,0.0688,51.6299,2272,103,1,1410841185,1712907608,0
UMTS,234,20,100,10765503,185,-0.4068,51.5159,1086,11,1,1410882080,1720522759,0
LTE,234,10,4096,128365422,0,-0.4392,51.4922,5297,27,1,1411077871,1715790966,0
LTE,234,10,4320,128705912,0,-0.1881,51.5132,1000,16,1,1411325556,1738254362,0
LTE,234,20,1018,205056,0,-0.1646,51.5279,4156,108,1,1411907393,1720896188,0
LTE,234,10,4224,128096622,0,-0.3847,51.6574,4460,43,1,1412027504,1723052531,0
LTE,234,20,1003,88578,0,-0.1234,51.524,1000,59,1,1412322835,1723128844,0
LTE,234,20,1098,244481,0,-0.045,51.5441,3115,35,1,1412447894,1754531103,0
LTE,234,20,1098,244482,0,-0.0464,51.5471,1427,32,1,1412448041,1754531103,0
LTE,234,20,1098,179201,0,-0.0578,51.5451,800,40,1,1412448101,1754742003,0
LTE,234,20,1006,89344,0,-0.152,51.532,5211,27,1,1412450684,1742483747,0
UMTS,234,20,47,13012474,376,-0.1296,51.5096,1000,80,1,1413032505,1719174684,0
UMTS,234,20,47,13012636,376,-0.1317,51.5085,1000,66,1,1413032505,1718562843,0
UMTS,234,20,47,13013822,442,-0.1284,51.5078,696,140,1,1413032505,1719174683,0
LTE,234,20,1054,160514,0,-0.0617,51.5126,1000,32,1,1413051104,1721074324,0
LTE,234,15,12299,99358,0,-0.0655,51.4949,3073,35,1,1413362754,1747182061,0
LTE,234,20,1054,214016,0,-0.0544,51.5215,8025,28,1,1414063944,1752432130,0
LTE,234,20,1054,214017,0,-0.0631,51.5173,1000,20,1,1414064054,1752432130,0
LTE,234,20,1054,160512,0,-0.061,51.5147,500,31,1,1414064126,1729382582,0
UMTS,234,10,21019,1266571,290,-0.233,51.4068,607,28,1,1414087503,1754086751,0
LTE,234,20,1067,211968,0,-0.0057,51.5026,6660,28,1,1414538705,1751308154,0
LTE,234,20,1065,405506,0,0.0134,51.5045,1211,38,1,1414538741,1752432128,0
LTE,234,20,1067,164352,0,0.0094,51.5001,1998,27,1,1414538801,1752432128,0
LTE,234,20,1103,211712,0,-0.0125,51.5306,3337,40,1,1414863653,1754531105,0
LTE,234,20,1069,97282,0,-0.0439,51.4881,3770,27,1,1414966705,1750009925,0
LTE,234,20,1006,84736,0,-0.1327,51.5457,1000,24,1,1415439953,1746146342,0
LTE,234,20,1107,135680,0,-0.2546,51.5555,1914,102,1,1415810364,1720555202,0
LTE,234,20,1176,488450,0,-0.0068,51.6806,900,27,1,1415941958,1738271583,0
LTE,234,20,1071,96770,0,-0.0939,51.4826,6124,9,1,1416016029,1710104110,0
LTE,234,20,1001,86786,0,-0.128,51.5166,500,33,1,1416082045,1750278242,0
LTE,234,20,1001,86784,0,-0.1196,51.5187,2482,30,1,1416082359,1748134262,0
